dataset,experts,top_k,hbm_capacity,tokens,accesses,markov_order,gating,min_support,min_confidence,lru_hit_rate_pct,prefetch_hit_rate_pct,hit_rate_gain_pts,prefetch_accuracy_pct,prefetches_issued,prefetches_wasted,cxl_traffic_multiplier,energy_multiplier,lru_energy_mj_per_access,prefetch_energy_mj_per_access,cxl_energy_basis
Synthetic high-skew,8,2,4,60000,120000,2,strict,20,0.4,55.46083333333334,57.63666666666667,2.1758333333333297,39.098532494758906,6678,4067,1.076094074503714,1.0727663380751176,28.261459859656394,30.317942802300518,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic low-locality,8,2,4,60000,120000,1,aggressive,1,0.0,50.29333333333334,56.854166666666664,6.560833333333328,33.068716397849464,23808,15935,1.2671506169527897,1.2569506806449664,31.00667503487877,38.97386128962816,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic low-locality,8,2,4,60000,120000,1,permissive,2,0.1,50.29333333333334,56.85333333333333,6.559999999999995,33.06868304977946,23805,15933,1.2671170869098713,1.2569184161309743,31.00667503487877,38.97286087432765,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic low-locality,8,2,4,60000,120000,1,moderate,8,0.2,50.29333333333334,56.85083333333333,6.55749999999999,33.08526740665994,23784,15915,1.2668153165236051,1.256635453573975,31.00667503487877,38.96408714627573,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic low-locality,8,2,4,60000,120000,1,conservative,8,0.3,50.29333333333334,56.8475,6.55416666666666,33.08235887944814,23774,15909,1.2667147263948497,1.2565374236871782,31.00667503487877,38.96104756543212,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic low-locality,8,2,4,60000,120000,1,strict,20,0.4,50.29333333333334,50.315,0.021666666666661172,24.528301886792452,106,80,1.0013412017167382,1.0012732717321782,31.00667503487877,31.046154957709515,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic low-locality,8,2,4,60000,120000,2,aggressive,1,0.0,50.29333333333334,56.69333333333333,6.3999999999999915,32.15003348961822,23888,16208,1.2717274678111588,1.2609474111862395,31.00667503487877,39.09778661472339,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic low-locality,8,2,4,60000,120000,2,permissive,2,0.1,50.29333333333334,56.69166666666666,6.398333333333326,32.17398592021455,23864,16186,1.2713586373390557,1.2606036286357198,31.00667503487877,39.08712706089676,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic low-locality,8,2,4,60000,120000,2,moderate,8,0.2,50.29333333333334,56.645,6.351666666666667,32.21062418121117,23663,16041,1.2689277092274678,1.2582848510608577,31.00667503487877,39.01522947815485,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic low-locality,8,2,4,60000,120000,2,conservative,8,0.3,50.29333333333334,56.645,6.351666666666667,32.217431735565135,23658,16036,1.2688438841201717,1.2582072806379312,31.00667503487877,39.01282427725885,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic low-locality,8,2,4,60000,120000,2,strict,20,0.4,50.29333333333334,50.57583333333333,0.28249999999999176,29.12371134020619,1164,825,1.0138311427038627,1.013218240677298,31.00667503487877,31.41652872809257,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic fine-grained (64e/top8),64,8,32,30000,240000,1,aggressive,1,0.0,55.23833333333334,55.38166666666666,0.14333333333332376,23.955431754874652,1436,1092,1.010164947685892,1.009487130128145,28.379662157960603,28.648903705845967,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic fine-grained (64e/top8),64,8,32,30000,240000,1,permissive,2,0.1,55.23833333333334,55.37916666666667,0.14083333333333314,23.988644428672817,1409,1071,1.0099694679227018,1.009305100945445,28.379662157960603,28.64373777913805,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic fine-grained (64e/top8),64,8,32,30000,240000,1,moderate,8,0.2,55.23833333333334,55.37125,0.13291666666666657,24.369747899159663,1309,990,1.0092154745503965,1.008605786447015,28.379662157960603,28.623891469930445,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic fine-grained (64e/top8),64,8,32,30000,240000,1,conservative,8,0.3,55.23833333333334,55.32875000000001,0.0904166666666697,24.057649667405766,902,685,1.0063763637040624,1.0059519948353957,28.379662157960603,28.54857776055506,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic fine-grained (64e/top8),64,8,32,30000,240000,1,strict,20,0.4,55.23833333333334,55.245,0.006666666666660603,27.11864406779661,59,43,1.0004002680865325,1.0003752350302964,28.379662157960603,28.390311201350247,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic fine-grained (64e/top8),64,8,32,30000,240000,2,aggressive,1,0.0,55.23833333333334,55.653333333333336,0.41499999999999915,14.984203400030088,6647,5651,1.0526026734184757,1.0485654064458825,28.379662157960603,29.75793198545879,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
